"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"10TPB220ML","cap tantal SMD-D3L","Конденсатор танталовый 10 В, 220 мкФ ±20%, корпус D3L, -55...105 °C 10TPB220ML «Panasonic»","220 мкФ","*","C?","Конденсатор танталовый 10 В, 220 мкФ ±20%, корпус D3L, -55...105 °C 10TPB220ML «Panasonic»"
"1812HC102KAT1A","SMD 1812","Конденсатор керамический 1000пФ ±10% 3кВ X7RВ 1812HC102KAT1A 1812 -55...125°C "AVX Co"","1000пФ","*","C?","Конденсатор керамический 1000пФ ±10% 3кВ X7RВ 1812HC102KAT1A 1812 -55...125°C "AVX Co""
"20SVPF180M","CAP 8*6.9","Конденсатор электролитический алюминиевый 180мкФ 16В SMD 6,3х16,0  -55...105°20SVPF180M «Panasonic»","180мкФ","*","C?","Конденсатор электролитический алюминиевый 180мкФ 16В SMD 6,3х16,0  -55...105°20SVPF180M «Panasonic»"
"20SVPG33M","CAPAE 4 5","Конденсатор электролитический алюминиевый 33мкФ 20В ±20%, SMD 5.0х4.4, -55...105 °C, 5000ч 20SVPG33M «Panasonic»","33мкФ","*","C?","Конденсатор электролитический алюминиевый 33мкФ 20В ±20%, SMD 5.0х4.4, -55...105 °C, 5000ч 20SVPG33M «Panasonic»"
"25TDC68MYF","cap tantal SMD-D3L","Конденсатор танталовый 68мкФ 25В ESR 70 мОм SMD-D3L -55...125°C 25TDC68MYF «Panasonic»","68 мкФ","*","C?","Конденсатор танталовый 68мкФ 25В ESR 70 мОм SMD-D3L -55...125°C 25TDC68MYF «Panasonic»"
"293D157X96R3D2TE3","cap tantal SMD-D","Конденсатор танталовый 150мкФ 6,3В SMD-D -55...125°C 293D157X96R3D2TE3 «Vishay»","150 мкФ","*","C?","Конденсатор танталовый 150мкФ 6,3В SMD-D -55...125°C 293D157X96R3D2TE3 «Vishay»"
"293D475X96R3A2TE3","CAP тантал  корпус А","Конденсатор танталовый 4,7мкФ 6,3В SMD-А -55...125°C 293D475X96R3A2TE3 «Vishay»","4.7 мкФ","*","C?","Конденсатор танталовый 4,7мкФ 6,3В SMD-А -55...125°C 293D475X96R3A2TE3 «Vishay»"
"35TQC10M","cap tantal SMD-D","Конденсатор танталовый 10мкФ 35В ESR 0.12 мОм SMD-D -55...125°C 35TQC10M «Panasonic»","10 мкФ","*","C?","Конденсатор танталовый 10мкФ 35В ESR 0.12 мОм SMD-D -55...125°C 35TQC10M «Panasonic»"
"B32529C6102J189","C пленочный L=5мм","Конденсатор плёночный 400 В, 1 нФ ±10%, B32529C6102J189 -40...85°C "TDK-Epcos"","1нФ","*","C?","Конденсатор плёночный 400 В, 1 нФ ±10%, B32529C6102J189 -40...85°C "TDK-Epcos""
"B32529C6102J189_1","C пленочный L=5мм","Конденсатор плёночный 63В, 0.33мкФ ±5%, B32529C0334J000 -40...85°C "TDK-Epcos"","0.33мкФ","*","C?","Конденсатор плёночный 63В, 0.33мкФ ±5%, B32529C0334J000 -40...85°C "TDK-Epcos""
"B32922C3224K","C пленочный L=15мм","Конденсатор плёночный 630 В, 0.22 мкФ ±10%, Polypropylene (PP), B32922C3224K -40...85°C "TDK-Epcos"","0.22мкФ","*","C?","Конденсатор плёночный 630 В, 0.22 мкФ ±10%, Polypropylene (PP), B32922C3224K -40...85°C "TDK-Epcos""
"B32923C3684M000","C пленочный L=22/5мм","","0.68мкФ","*","C?","Конденсатор плёночный 630 В, 0.68 мкФ ±10%, Polypropylene (PP), B32923C3684M000 -40...85°C "TDK-Epcos""
"C4532C0G3F271K230KA","SMD 1812 inch","Конденсатор керамический 270пФ ±10% 3кВ SMD 1812 C4532C0G3F271K230KA -50...155°C "TDK"","270","*","C?","Конденсатор керамический 270пФ ±10% 3кВ SMD 1812 C4532C0G3F271K230KA -50...155°C "TDK""
"CA45-A010K106T","CAP тантал  корпус А","Конденсатор танталовый 10мкФ 10 SMD-А -55...125°C CA45-A010K106T «Xiangyee»","10 мкФ","*","C?","Конденсатор танталовый 10мкФ 10 SMD-А -55...125°C CA45-A010K106T «Xiangyee»"
"CA45-A016K475T","CAP тантал  корпус А","Конденсатор танталовый 4.7мкФ 16В SMD-А -55...125°C CA45-A016K475T «Xiangyee»","4.7 мкФ","*","C?","Конденсатор танталовый 4.7мкФ 16В SMD-А -55...125°C CA45-A016K475T «Xiangyee»"
